"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","regulation","is_noncoding"
"80273",557.88241922021,0.514237745766222,0.109256102473441,4.70671874727754,2.51735838793205e-06,1.52216682867341e-05,"GRPEL1","NS",FALSE
"51430",627.976798683709,0.530696540876019,0.112755831145981,4.70659952112761,2.51883045259094e-06,1.52264125803594e-05,"SUCO","NS",FALSE
"9516",2755.19150703413,-0.629301895702382,0.133715408659684,-4.70627807229011,2.52280344409324e-06,1.52432813891909e-05,"LITAF","NS",FALSE
"2314",2867.14800194877,-0.413365217649035,0.0878330155154001,-4.70626239146438,2.52299740723164e-06,1.52432813891909e-05,"FLII","NS",FALSE
"5630",90.8567776861617,-2.14630316530549,0.456092817219406,-4.70584732816128,2.52813671786548e-06,1.52701663932377e-05,"PRPH","Down",FALSE
"22845",269.820664442034,0.415646112251038,0.0883363501369599,4.70526698925872,2.53533932011114e-06,1.5309495801838e-05,"DOLK","NS",FALSE
"28227",177.34431952349,0.653270090820149,0.138850161040028,4.70485655851578,2.5404450740517e-06,1.53361455288011e-05,"PPP2R3B","NS",FALSE
"112268252",810.138813603733,1.24768550214691,0.265221035834731,4.70432331364694,2.54709337734506e-06,1.53720902492686e-05,"LOC112268252","Up",TRUE
"340533",30.088866275629,-1.83036781419818,0.389132247228526,-4.70371660851654,2.55467786637307e-06,1.54136638687816e-05,"NEXMIF","Down",FALSE
"55251",936.472687400126,0.68713021685412,0.14610940545003,4.70284725844787,2.5655835054667e-06,1.54752475660626e-05,"PCMTD2","NS",FALSE
"105377633",8.66485896827133,-1.00408914455038,0.213524695341584,-4.70244972341069,2.57058529484869e-06,1.55011962144306e-05,"USP34-DT","Down",FALSE
"11333",1854.31218124934,0.371665654543911,0.0790394525392389,4.7022802234036,2.57272079044392e-06,1.55098510581226e-05,"PDAP1","NS",FALSE
"6868",389.61663995542,0.462123150950629,0.0983110632990065,4.70062204032025,2.59370190497917e-06,1.56320825832336e-05,"ADAM17","NS",FALSE
"8603",626.561747534153,-0.2899610586895,0.0616932146834347,-4.70004781202231,2.60100586782093e-06,1.56675765478286e-05,"FAM193A","NS",FALSE
"1632",573.486746568672,-0.50552187681371,0.107555866134691,-4.70008652229765,2.60051286810582e-06,1.56675765478286e-05,"ECI1","NS",FALSE
