"gene_id","GSM4284531","GSM4284532","GSM4284534","GSM4284535","GSM4284537","GSM4284538","GSM1228184","GSM1228185","GSM1228186","GSM1228187","GSM1228188","GSM1228189","GSM1228190","GSM1228191","GSM1228192","GSM1228193","GSM1228194","GSM1228195","GSM1228196","GSM1228197","GSM1228198","GSM1228199","GSM1228200","GSM1228201","GSM1228202","GSM1228203","GSM1228204","GSM1228205","GSM1228206","GSM1228207","GSM1228208","GSM1228209","GSM1228210","GSM1228211","GSM1228212","GSM1228213","GSM1228214","GSM1228215","GSM1228216","GSM1228217","GSM1228218","GSM1228219","GSM2322216","GSM2322219","GSM2322222","GSM2322225","GSM2322228","GSM2322231","GSM2322234","GSM2322237","GSM2322240","GSM2322243","GSM2322246","GSM2322249"
"PRSS35",3.44830852302646,4.00512530734779,4.09890044259489,5.05355056180611,4.21987570034164,4.03310104165047,3.93691754850643,4.51107414481353,4.34637023075498,4.48534314860583,4.24163498860324,4.0875575212864,7.00930718816253,5.03359772465522,4.2570830851214,4.35656275576876,4.82733262273545,5.19416684591694,4.54263362689908,4.06020429007013,4.19115129840783,3.94361402023011,4.37993353725453,3.32570741265659,4.22830258988882,3.96900665443937,4.12352455989038,4.37944841841629,4.07360939966788,3.86605059357198,4.15721369085861,4.11605824627547,3.88207889276113,3.86772927856774,3.89272714405253,3.64481557293076,4.10220811820976,3.74125758078226,3.85335461747593,3.75085697661273,4.03238981986045,4.58986899211054,4.12649378705053,5.59288400855548,3.74466955106869,2.85259863008314,4.48333701865998,4.96743935751122,3.59658802528697,4.38659400822119,3.66971284775144,4.29603141186133,4.14314821545445,4.08526907538422
"SNAP91",5.51674903553369,3.85705869939233,4.35771585404401,2.85259863008314,5.55807180944072,3.7768497131275,3.48831421047952,3.99042320970242,4.74891929915307,2.85259863008314,3.56693556500977,3.90499957145604,5.303167986236,4.41997033615007,4.06244407387332,4.35656275576876,4.47550337406651,3.35185595233658,3.93109675735155,4.12912829923781,2.85259863008314,3.34976173561937,3.95659856923207,2.85259863008314,4.58980963233793,4.50841888917172,5.01784373724249,4.62138620110588,5.0855426637439,3.76264741144276,4.79354396876207,4.81165988049045,4.57048068647978,4.46023227688297,7.13769339510291,4.73503649758351,4.63455948426079,5.0929566700056,4.70066982202686,4.69647012402293,4.65158731959514,4.64058694754357,4.72757202279194,4.32598558589536,5.88695412534705,4.33950800526393,6.48775316601463,2.85259863008314,4.92621914899734,2.85259863008314,4.59617534673334,2.85259863008314,4.72040719395127,3.57844790783978
"CYB5R4",8.5566932921725,8.13108994369937,8.61749359929003,8.73316316126027,8.54760640435919,8.69379134529358,8.59008950419641,9.49386634004562,9.09634991549367,8.98489101239741,8.75626768905767,8.32364284243599,8.16164814786695,8.22115386828969,8.47109999094436,8.30192668366951,7.99707834794783,8.49993563853186,8.42438854509647,9.05865424277789,7.44619076654262,8.27463545874586,8.13598436189636,8.98229774552582,9.14181130267002,9.06491332942105,8.91838557002022,8.52050663949609,8.88774449554954,8.70849585563899,8.50954054634678,8.00149693075497,8.51165649456079,8.38151857962244,7.64187914516084,8.24015301553984,7.89574996729028,8.70757612999072,9.07371429437129,9.09133694058431,8.53799035641087,8.47163129998306,8.73747950866199,7.80482871016642,8.87791914986917,8.42231447874875,8.96689023102166,8.13594819246823,8.54569321572339,9.06640466503688,8.6084283853815,9.09397483676923,8.3964875464959,7.82707728874461
"MRAP2",7.52388541460808,5.40515794774013,6.58632011754485,6.48470318420203,6.9346619721502,7.09545243480436,5.3302039831185,5.09628497126087,8.09352807763332,4.64764946045437,6.68790021622071,8.11777353769909,4.97707940186563,7.36670947362816,5.7511395722022,7.73114309761208,7.0365790616005,7.3839278786675,7.08902688798992,6.32491333328245,5.80213974709616,4.29113938368734,6.95879578663471,8.00237756070734,6.67035102372123,6.64803197309401,8.03364003601918,6.55085090972403,6.85250941058647,7.12497044680662,6.00438287055243,6.62605291237681,7.08819491716227,7.3935959169736,6.30593477432369,7.26033911795807,5.87596276555993,6.7831283629871,7.10806730737631,7.34488762941298,6.84332553847057,7.51205489242317,7.4457510969371,7.46212543426453,4.89723252532986,7.94646049897856,6.41979062534519,7.85188464460224,6.62000892464313,7.12498530004854,4.59617534673334,6.05914464850179,6.8758428777153,6.61382252722684
"CEP162",7.39038709954687,7.0433898547056,7.30763188545433,7.40010725039679,7.51598183006464,7.95635168809539,8.16716457838089,9.17020785877458,8.22995661270087,7.94535572970417,6.76217956127986,7.19625413899991,8.35397817794138,6.94810886910876,7.4842189855247,6.9183569363877,6.74854125581588,7.36872675512744,7.1168363346052,6.54947976186896,6.31866676793296,7.38773008239951,7.42697905378194,7.01406584535419,8.29477159252845,7.79303467473606,7.78240454830461,7.30515124536706,7.93014685516727,7.19262039503934,7.35122824205568,7.2132291947461,7.33495614450384,6.9893800329604,7.64187914516084,7.37499198473986,7.215711293814,7.04584947943531,7.33559698593442,7.84633242821636,7.21680339720666,6.94708439667719,7.04650292608762,6.76019348522958,8.26634172308898,7.30930662213586,8.00133974430018,7.47635045850835,6.46731557787794,7.37971928715419,8.19321359420836,8.1658711161441,6.98574265767216,7.06134028576145
"TBX18",4.26507846399988,5.1733574718319,4.19234708039248,5.05355056180611,4.791984343731,6.38102002710055,6.72961569742779,4.55194727634261,5.61215898280079,4.79086536268882,4.56620306824839,4.0006454172088,5.59172528455934,4.61329956890811,7.55315451667225,5.12117790962459,5.2867790916923,4.82428539529555,4.46793822755248,5.93528216194689,4.642030669125,5.11249255676959,6.55170844116603,3.78666177500955,4.55032109155609,4.27214455905123,5.43040020956704,4.62138620110588,4.95730697737267,4.11990528409352,4.4730844469607,4.68355892401704,4.71546741291417,5.19456495547444,4.58706542883928,4.54726576555151,4.75082994531065,4.22739857785112,4.3199415322607,4.95799300121474,4.3842214253761,5.12868681145871,5.62742777594791,5.15221374534687,2.85259863008314,5.67576651752859,5.46018673590187,2.85259863008314,5.82606031595035,4.23652382401419,4.8740310672614,4.92606957713939,4.72040719395127,4.26283670884259
"LINC02535",6.87870884865754,5.48781082486345,8.87415785782829,8.69826387720458,8.78710545132303,7.50649753817545,9.51807801404435,7.50385088284191,8.4094814899445,4.91942336934937,6.9988478895341,7.91162939846527,3.5459279961135,6.86814601767869,6.6053676576315,8.27307747152982,8.3209302256684,7.33000525691093,6.70487601369665,5.13267488768432,7.78916571677556,6.83894124866057,7.62103568288166,5.58016374711635,9.88134774204627,8.84957661166528,8.37109413835552,8.12825724142138,10.3010002426409,9.22601223976326,8.92053048740532,8.18106221486869,8.63934277234601,8.11671280910491,6.71993799934574,8.71436154588335,6.07665191237126,6.20635239051356,8.59574531448805,7.7461483433425,9.78832111215439,6.46930727113975,10.2334156432823,6.31256156919661,7.4411885980507,6.78527831318738,9.20612294294564,9.14029082771137,8.03171615465574,6.64369953960397,4.99299006714198,6.61979935873032,9.50407616468399,6.61382252722684
"NT5E",10.1403241690509,9.31116448104888,10.0128144983146,10.7867770382746,8.82465785638755,8.55552874764049,8.65616418310013,10.7209804775428,9.851580334421,7.77238913347156,7.09762452570222,9.26139288622272,9.94582380839622,10.6984951085501,9.29502893097508,9.50749168409129,9.2055571908948,9.6212783440691,10.4188718246741,9.24076796410351,10.7444450106472,9.18216002140573,8.6888242648012,9.90156477718396,10.0855333903357,10.316301267871,9.75170591239723,10.2694260237215,9.62293059620036,9.52112387467071,10.1109970696907,10.0746965912033,9.22287737148124,9.08602980261121,9.54572727343144,9.45118535572756,10.1088385690106,9.82000769929827,10.1262392469508,9.84923190591607,9.87520462284963,8.99890074239436,9.76721513248113,10.1383607889959,10.2563578381477,10.260751321754,10.2061744280106,9.74003696676659,10.3164953817145,7.52747728814149,10.0806316110352,8.77625079453354,9.55530878022145,8.68010162722691
"SNX14",9.59588486942691,9.43537010467628,9.69787527048401,9.62868515365185,9.52902065424539,9.83301037489929,10.071168022894,10.2597734728036,10.2576861574055,9.88448755078987,8.55831336603233,9.7092056251116,9.20455918690541,9.27666109529158,9.06778324839938,9.67942127153782,9.57747848712131,10.0127566958719,10.0248766867486,9.99909908289772,8.58686422193255,8.96422630998833,9.14516953615975,9.4303804484001,10.437647340181,9.89752774967451,9.9541648122734,10.0238445970998,9.89801001581992,9.80244666363584,9.57494691939946,9.35662958138687,9.51385901384283,9.90999782330453,8.60962793929287,9.5788610830465,9.42035922256998,9.53244338181099,9.74650934653791,9.80793791392147,9.84248138806508,9.74457998183853,9.27865842228289,8.93843756354259,9.59372944790479,9.90194211837255,9.94012955849655,9.47647883484223,8.92380187663984,10.0712810233721,9.60848827152704,10.2456787442585,9.54639894692294,9.90852701330953
"SYNCRIP",10.6954380662733,11.1034560573044,10.7387781587918,11.7878155097047,10.9941790473986,11.8080610270277,12.6436057987584,12.1855257927202,10.9250027712444,12.7631533637598,10.5805759754578,10.8984867374987,11.0726141325213,10.95101046349,11.7667931264822,10.8234867761804,10.6051776332239,11.4342951767261,10.5538314456645,12.3035643938379,11.3109045377209,11.6773326568562,11.6329106169179,12.0529250933551,11.3980124577155,11.1821000679364,11.2120444194747,10.9864458319992,10.7179438984211,10.9584809443593,10.8511787890007,10.7899912556404,10.7302307518406,10.2309748360263,10.6987687524034,10.8223448131989,10.7108813247457,11.0329771291941,10.9640082319614,10.9720768140427,10.7344864348765,11.0481961977265,10.6620813798893,10.3391964471434,11.4641775674748,11.8451037793215,11.0806312837918,11.3633420071561,10.5797823854389,11.9024443808909,11.1517079577327,12.3006218700212,10.4944009915054,11.0077728549364
"SNHG5",10.5694637531448,10.4569860422133,9.36927749052858,10.1122358511099,7.30864837812768,8.38944293283499,10.3416994881523,11.7317184245392,8.10244396278188,11.1089861662334,7.66784416821738,8.19500107136207,10.0197703783712,10.0059479436313,8.93121336418623,10.0891736509709,8.15957218442446,8.96607902091366,10.3035423624259,10.9117108458218,9.12641988124166,9.66881697542886,9.84875156923816,8.50722568575771,9.28789633724982,10.6001906302145,8.00643821381133,10.1600556118818,7.99890215780902,7.78574439100038,9.53248086093592,9.72194468338015,7.91045276669482,9.63819516372366,9.08969314926012,8.24724343087084,10.0680864962634,9.48624981613431,9.47855346321342,9.5615189341928,9.58394123273753,8.0850305965336,7.58787984778963,7.96763356438578,9.75474171290715,10.8425380245284,8.65076122384583,8.92171123727243,9.31936680905234,9.46083323046301,9.67299801301778,11.3247553694717,9.13161089355985,9.66147849867398
"SNORD50B",4.02035957692967,4.00512530734779,3.88027273444188,4.20060798894545,3.83680354976065,4.74492810520963,3.93691754850643,4.22966719049373,3.93136514317399,4.79086536268882,3.56693556500977,4.37655429784305,3.5459279961135,3.64098520372712,4.36958764282546,4.07089238399239,3.64849284884309,5.15785337583266,3.62387625597228,4.60719980411675,3.76218107199047,4.3626728047102,3.87809931082379,4.35934432693291,3.7596279367729,3.96900665443937,3.87783966808671,4.07055250909159,3.36341276416357,3.95847349913836,4.09419625363845,3.86290733669124,3.88207889276113,3.86772927856774,4.17760792312138,4.49536633268085,3.74957076102922,3.93285397701841,3.96619378803811,3.88451460640382,3.79468514220519,4.7812640417797,2.85259863008314,3.91606940424972,3.74466955106869,4.76475027543008,3.91555178919989,4.67976381367537,3.59658802528697,4.06188288429655,3.66971284775144,5.1099389901853,3.97905329907152,3.8688254863835
"ZNF292",9.58419277647259,9.37328272275752,9.70615251498989,9.8283451326437,9.88587009553289,10.0723938041754,10.4193338354574,10.9495453227472,9.9362468742014,10.9482566429139,8.5374049367125,9.77418889620509,9.89647936005356,9.29455394894367,8.90105739564798,9.10083391474917,9.22743074384811,9.73214499236,9.73123660728679,9.93038136467641,8.94934327863261,10.0236738266483,9.79310436497789,9.87652132248897,10.3431602823836,9.75806520503222,9.80175593785064,10.1322442227454,10.0008007567322,9.79763885381832,10.1233123751666,9.73199475037466,10.0260065626803,9.31430478483195,9.5707334463647,9.03213804957907,9.5810622034699,9.27359419245764,9.97888072129089,9.76702392093738,10.3955055510051,8.62618942914658,9.42873689338762,8.78571474032011,10.0033994136871,10.1103495677616,9.91889039923826,10.1723410375961,8.83350734098302,9.71282371985542,10.2537122630798,10.7070269388187,9.25706195138586,9.73287037917833
"SMIM8",6.76684893695305,6.19515665620252,6.88474646374986,6.60748832635494,6.9619663402775,6.53308380593061,6.85383691130741,7.2580121690843,6.7645214439983,7.25368444031074,5.57563586713002,6.99227408665871,7.06550297820884,5.60748203420874,6.74837608030654,6.79142355254819,6.5707990666635,6.73559584429001,6.61390996978963,6.63024966360134,5.16971408622804,6.39221152640203,6.40724477750251,6.63444741610265,7.26078905289577,6.73308695071484,6.67964936151093,7.0534385796519,7.0352920122901,6.89144248595451,6.95415405034853,6.71020707103103,6.48914965525913,6.52557339686707,7.16428907064375,6.40172236311013,6.28853543942202,6.88196018372374,6.66745778077916,6.70810738139958,6.77742946016012,6.77046607700213,6.4250113808171,6.23535204922136,7.2914107291455,6.64066541474431,6.96314513646851,6.36730116719646,6.46731557787794,6.66947186311216,7.4785616911196,6.95398241944227,6.29696295303407,6.43740973924397
"C6orf163",4.71119138958234,4.53139355694738,4.99662125993168,4.30061201826952,5.27504478088593,4.80287985355113,3.93691754850643,5.06992116802197,4.79691281261683,4.3469367419874,3.92975288696766,5.00461701846282,4.65096854107825,3.88630699478573,4.36958764282546,4.72957462335533,4.62860813400217,4.29679541772674,4.80234293776005,3.29044340264657,4.59432528111187,4.55374895734374,4.7239151683044,4.58684333173713,4.95690279267542,5.5441580650343,5.06780500418178,5.59027273978536,5.12564754607163,4.77583053390445,4.37740668586526,5.90841871575546,4.71546741291417,4.84698252019103,4.04553952527193,4.59699778453008,5.35915806488155,5.18364891663131,4.46103344794825,5.43018827647545,4.69088100282572,4.90774989079589,5.4355118124229,5.15221374534687,4.56330118035522,4.87898835573527,4.32529523943134,5.49230341867621,4.45159589926631,3.84920135848949,4.8740310672614,4.8233047047858,5.11065714354895,4.54979649423788
"LINC01590",4.71119138958234,4.1332399320765,4.50178988839754,4.20060798894545,4.85543961301908,4.55272851982418,4.23243343332189,4.05579219051712,5.29820360115855,4.64764946045437,4.24163498860324,5.07854867430664,4.03195664141897,4.23780798144566,4.06244407387332,4.94019211084255,4.55451024455631,4.13724615235661,4.74235675332965,3.29044340264657,4.25842826573847,3.94361402023011,4.79660562346048,3.78666177500955,4.2803634065125,4.87451301179154,4.44878754018178,4.85957104298683,4.5959730264127,3.76264741144276,4.60336354269168,4.72773834359705,5.07090014569207,4.62989649962811,4.67035333137739,4.77782519975242,4.28188141054844,4.77557018459097,4.64506875245807,4.4381896903168,4.27929312515068,4.15472795114141,4.94355609208738,4.14147711211656,4.74143606151669,4.63902479656287,3.91555178919989,5.09025549040721,4.11490046925726,3.84920135848949,4.74283653890088,5.02123696107798,4.40973206544687,4.67062983073669
"CFAP206",3.44830852302646,4.44424907952878,4.68949176420347,4.47709079354512,4.41384152784398,4.32332081444386,3.99276007529524,3.99042320970242,3.93136514317399,3.93179054785187,4.06642397657343,5.24708538723381,4.47967902751555,5.05894447557488,4.06244407387332,4.63429945063898,4.76454767910865,4.36856539619273,4.6465769871561,4.6499426366519,4.25842826573847,4.04242149195711,4.27525475522795,4.29462936477704,4.22830258988882,4.27214455905123,4.00855834742553,4.13999759059651,4.65446997545141,4.49360530208934,4.64382421767601,4.63773506898685,4.57048068647978,4.62989649962811,4.17760792312138,4.12131916163264,4.50598758357897,4.4042271363588,4.58681314649079,4.00054359410597,4.43323589659205,4.58986899211054,3.60369835659867,4.32598558589536,4.89723252532986,4.87898835573527,3.61252083476238,2.85259863008314,4.29614366010544,4.23652382401419,4.74283653890088,4.29603141186133,3.51380217334116,4.78062031123263
"SLC35A1",9.42812724363436,8.96680158503688,9.65062392681346,8.93650277449998,9.5582905633199,9.37640425416274,8.55223213078142,8.97377081783141,9.42767134916225,8.4953069350911,8.22797679549236,10.6571370904814,8.54350777869023,9.59708163750813,7.98396273716163,9.54113941093542,9.65214984235977,9.12353987579351,10.1569704574595,9.51645436127088,8.26358523768911,8.30262726713166,9.13543781176714,9.32500653420858,9.92928523876449,9.88139422197611,9.3768262085841,9.55907729229321,9.4543934377871,9.50203953560735,9.55083389900552,9.72446377219019,9.17195972855692,9.78962903787474,8.87357231428009,9.12548515434939,9.57743683592478,9.49334464270617,9.89914304475965,9.48012168188648,9.84648760368944,10.0435065872578,8.90958499409866,9.88004228600184,8.88663690151565,9.73825770822216,9.54005803557284,9.60939367571318,9.59324148678136,8.27671026371506,9.62597491337221,8.64791491562563,9.96940000149132,9.22595305139879
"RARS2",9.03681094726441,8.89863805058962,9.12197624287818,9.38717525984423,9.08508143163396,9.4222788280396,9.81679643555415,9.80648521994736,9.38995840799759,10.5575645811245,8.29872301967947,9.33683070304001,8.98485538140367,8.89123241543831,9.16572736711436,9.05921037172442,8.64331176109464,9.92730685482114,9.26631868770017,9.58102448444257,8.58686422193255,8.61475602128427,8.98821268575627,8.89471755015539,9.50615411322925,9.44647951300154,9.18944085693048,9.44924165541277,8.8045507948561,9.03085969365728,9.14492707112951,9.17146973505326,8.54168510934207,9.16620363705707,8.27414814218284,9.11970399204959,9.06145658877939,9.08733469627014,9.3918686469843,9.27541458073506,9.25973029454398,8.89541123584504,9.26463477317259,8.73098796259669,8.95454421705949,9.13697513337659,9.38936684738063,8.3615666528111,9.04140912175485,9.74030514774324,9.2788504648848,9.83863499121743,9.27155253749349,8.8532289711225
